DEPTH,CALI,CPERM,CPOR,Density,Facies,GR,Neutron,PEF,Perm,PHIE,RESD,RESM,RESS,Sonic,SP,SW,VShale,Lithology
812,9.61,,,2.45,,123.61,0.3,2.69,,,9.21,8.04,5.63,106.4,403.66,,,
812.5,9.61,,,2.45,,124.51,0.31,3.1,,,8.92,7.78,5.25,106.28,402.8,,,
813,9.6,,,2.46,,122.79,0.31,3.34,,,8.66,7.52,5.93,106.04,402.77,,,
813.5,9.59,,,2.46,,121.76,0.32,3.01,,,8.49,7.36,6.16,106.24,403.04,,,
814,9.59,,,2.44,,123.17,0.31,3.04,,,8.37,7.24,5.12,107.19,402.68,,,
814.5,9.62,,,2.42,,125.14,0.32,3.24,,,8.21,7.12,4.7,108.71,401.97,,,
815,9.62,,,2.42,,126.32,0.32,3.23,,,8.03,6.99,4.56,110.34,401.88,,,
815.5,9.64,,,2.43,,126.77,0.31,3.2,,,7.85,6.83,4.63,111.69,402.52,,,
816,9.66,,,2.42,,127.19,0.34,3.38,,,7.66,6.65,4.63,112.61,402.88,,,
816.5,9.67,,,2.41,,127.69,0.35,3.41,,,7.46,6.49,4.48,113.15,402.75,,,
817,9.69,,,2.42,,127.91,0.38,3.38,,,7.33,6.36,4.52,113.36,402.56,,,
817.5,9.7,,,2.41,,128.52,0.39,3.29,,,7.21,6.25,4.58,113.35,402.61,,,
818,9.69,,,2.42,,130.09,0.31,2.8,,,7.17,6.18,4.43,113.35,402.98,,,
818.5,9.67,,,2.42,,131.95,0.32,2.71,,,7.13,6.13,4.26,113.55,403.59,,,
819,9.59,,,2.41,,132.84,0.36,3.11,,,7.06,6.07,4.41,113.98,404.31,,,
819.5,9.55,,,2.4,,131.99,0.35,3.3,,,6.94,5.96,4.59,114.49,405.35,,,
820,9.55,,,2.4,,130.33,0.35,3.71,,,6.78,5.84,3.18,114.9,406.59,,,
820.5,9.58,,,2.4,,129.84,0.35,3.63,,,6.67,5.74,3.17,115.14,407.48,,,
821,9.6,,,2.41,,131.06,0.35,3.43,,,6.65,5.72,4.61,115.19,408.18,,,
821.5,9.62,,,2.41,,132.23,0.32,3.43,,,6.71,5.78,4.5,115.09,409.14,,,
822,9.63,,,2.41,,131.82,0.3,3.49,,,6.83,5.89,4.49,114.88,410.26,,,
822.5,9.65,,,2.42,,130.39,0.36,3.19,,,6.85,5.95,4.44,114.65,411.28,,,
823,9.65,,,2.41,,130.96,0.36,3.27,,,6.79,5.93,4.53,114.55,412.35,,,
823.5,9.68,,,2.41,,132.94,0.4,3.29,,,6.66,5.85,4.35,114.69,413.47,,,
824,9.7,,,2.4,,133.36,0.37,3.3,,,6.43,5.7,4.53,115.1,414.36,,,
824.5,9.72,,,2.41,,133.32,0.35,3.34,,,6.16,5.49,4.54,115.56,415.08,,,
825,9.75,,,2.41,,135.09,0.37,3.31,,,5.94,5.3,3.67,115.62,415.83,,,
825.5,9.76,,,2.41,,135.51,0.38,3.22,,,5.81,5.2,3.68,115.03,416.6,,,
826,9.79,,,2.43,,131.55,0.38,4.31,,,5.8,5.19,4.37,114.23,417.36,,,
826.5,9.83,,,2.49,,124.99,0.38,5.64,,,5.93,5.33,4.61,114.24,418.44,,,
827,9.87,,,2.5,,119.21,0.4,4.32,,,6.08,5.52,4.48,115.76,420.06,,,
827.5,9.94,,,2.45,,117.31,0.4,3.85,,,6.07,5.55,3.67,118.38,421.7,,,
828,9.98,,,2.4,,120.56,0.42,3.5,,,5.91,5.44,3.37,120.56,422.48,,,
828.5,10,,,2.4,,126.24,0.39,3.67,,,5.8,5.31,3.5,120.87,422.59,,,
829,9.99,,,2.43,,130.46,0.38,3.77,,,5.85,5.3,4.17,119.18,422.84,,,
829.5,9.9,,,2.44,,132.18,0.36,3.5,,,6.22,5.57,4.83,116.63,423.73,,,
830,9.85,,,2.43,,133.45,0.35,3.16,,,6.82,6.11,5.23,114.6,424.99,,,
830.5,9.71,,,2.41,,136.12,0.38,3.11,,,7.43,6.71,5.15,113.72,425.91,,,
831,9.58,,,2.4,,139.5,0.4,3.3,,,7.89,7.21,5.24,113.72,426.25,,,
831.5,9.46,,,2.39,,141.84,0.37,3.9,,,8.16,7.51,5.39,113.98,426.67,,,
832,9.39,,,2.36,,143.51,0.39,3.83,,,8.23,7.61,5.3,114.18,427.57,,,
832.5,9.3,,,2.38,,145.06,0.37,3.51,,,8.25,7.64,5.31,114.28,428.72,,,
833,9.28,,,2.39,,145.68,0.36,3.25,,,8.22,7.65,5.42,114.34,429.99,,,
833.5,9.27,,,2.39,,145.12,0.35,3.18,,,8.22,7.68,5.75,114.42,431.07,,,
834,9.27,,,2.39,,144.46,0.34,3.19,,,8.24,7.73,5.66,114.49,431.66,,,
834.5,9.28,,,2.4,,144.19,0.34,3.19,,,8.26,7.8,5.57,114.52,431.8,,,
835,9.29,,,2.4,,143.11,0.4,3.12,,,8.3,7.88,5.65,114.46,431.81,,,
835.5,9.29,,,2.39,,141.29,0.38,3.03,,,8.29,7.94,5.55,114.26,432.2,,,
836,9.29,,,2.41,,141.07,0.35,3.23,,,8.35,8.04,5.65,113.99,433.33,,,
836.5,9.31,,,2.4,,143.47,0.34,3.53,,,8.36,8.14,5.74,113.68,434.49,,,
837,9.32,,,2.39,,145.5,0.35,3.37,,,8.38,8.23,5.63,113.07,435.04,,,
837.5,9.33,,,2.4,,145.48,0.38,3.15,,,8.42,8.32,5.64,111.62,435.67,,,
838,9.36,,,2.41,,145.63,0.39,3.65,,,8.56,8.51,5.59,108.9,436.91,,,
838.5,9.41,,,2.43,,147.3,0.36,3.8,,,9.1,9.07,5.65,105.31,437.93,,,
839,9.45,,,2.43,,147.63,0.37,3.69,,,10.2,10.21,6.4,102.12,438.2,,,
839.5,9.55,,,2.44,,145.56,0.35,3.07,,,11.53,11.68,7.89,100.6,438.64,,,
840,9.63,,,2.43,,144.43,0.34,3.06,,0.04,12.43,12.85,9.91,100.96,439.95,,0.78,0
